block_id,athlete_id,block_name,start_date,end_date,block_focus,planned_frequency_per_week,notes
1,1,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 1
2,1,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 1
3,1,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 1
4,1,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 1
5,2,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 2
6,2,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 2
7,2,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 2
8,2,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 2
9,3,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 3
10,3,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 3
11,3,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 3
12,3,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 3
13,4,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 4
14,4,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 4
15,4,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 4
16,4,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 4
17,5,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 5
18,5,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 5
19,5,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 5
20,5,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 5
21,6,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 6
22,6,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 6
23,6,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 6
24,6,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 6
25,7,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 7
26,7,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 7
27,7,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 7
28,7,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 7
29,8,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 8
30,8,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 8
31,8,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 8
32,8,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 8
33,9,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 9
34,9,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 9
35,9,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 9
36,9,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 9
37,10,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 10
38,10,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 10
39,10,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 10
40,10,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 10
41,11,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 11
42,11,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 11
43,11,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 11
44,11,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 11
45,12,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 12
46,12,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 12
47,12,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 12
48,12,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 12
49,13,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 13
50,13,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 13
51,13,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 13
52,13,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 13
53,14,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 14
54,14,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 14
55,14,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 14
56,14,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 14
57,15,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 15
58,15,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 15
59,15,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 15
60,15,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 15
61,16,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 16
62,16,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 16
63,16,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 16
64,16,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 16
65,17,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 17
66,17,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 17
67,17,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 17
68,17,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 17
69,18,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 18
70,18,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 18
71,18,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 18
72,18,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 18
